YEAR,Customer_num ,Establishment_Date,Number_of_Emp,Profit,Sector,Region,Total Risk ,Total Limit,Sales
2016,RATI2649QSM,34377,3,,RETAIL-WHOLESALE,Marmara Region,209166,545658,3
2014,RATI9580OYK,34177,10,-326300,RETAIL-WHOLESALE,,6558919,9311864,0
2011,RATI1519QTR,31388,21,158532,RETAIL-WHOLESALE,Mediterranean Region,5786446,8403677,0
2013,RATI4529TCW,34723,6,69543,RETAIL-WHOLESALE,Aegean Region,1169491,1881226,0
2013,RATI8842BSA,35452,5,303761,RETAIL-WHOLESALE,Central Anatolia Region,664869,3196384,1
2011,RATI2307YNR,35995,22,81544,RETAIL-WHOLESALE,Southeastern Anatolia Region,250418,308355,0
2015,RATI4643NQE,35612,8,288543,OTHERS,Aegean Region,152862,1052653,0
2012,RATI2172RES,34907,3,303240,RETAIL-WHOLESALE,Marmara Region,13065,278761,0
2012,RATI7624BQV,37241,10,196643,OTHERS,,11076,143366,0
2014,RATI5584RXG,34702,34,112127,RETAIL-WHOLESALE,Aegean Region,415500,2039590,0
2012,RATI8333LLW,37707,4,13531,MANUFACTURING,Aegean Region,62039,139912,0
2012,RATI7825TTE,37858,10,30053,SERVICES,Marmara Region,746005,1627437,1
2012,RATI9417OMY,37630,6,,RETAIL-WHOLESALE,Central Anatolia Region,1510287,2165500,3
2012,RATI5380UMM,38371,31,361902,MANUFACTURING,Central Anatolia Region,1201175,3133013,1
2017,RATI7480HGQ,37539,16,,RETAIL-WHOLESALE,Marmara Region,50206,167077,3
2013,RATI8392WGD,33580,42,87010,SERVICES,Central Anatolia Region,446103,3465945,0
2013,RATI4531XFQ,35800,7,,SERVICES,,441682,768533,3
2014,RATI2012UJB,34658,1,-575005,SERVICES,Marmara Region,37887,1269149,0
2017,RATI6429WFB,40418,5,77779,MANUFACTURING,Southeastern Anatolia Region,3406996,9669366,1
2012,RATI2084FUU,37591,6,85201,RETAIL-WHOLESALE,,251195,505814,0
2017,RATI8909VQU,35457,4,-29279,RETAIL-WHOLESALE,Marmara Region,244604,1035081,0
2013,RATI3353EBM,37191,3,,RETAIL-WHOLESALE,Marmara Region,461438,1188620,3
2017,RATI2463KQR,30296,30,-406251,SERVICES,,187786,428203,0
2015,RATI4854NNY,38741,4,-176313,OTHERS,,1513872,6072210,0
2017,RATI5509UKH,37403,14,27901,SERVICES,Marmara Region,27260,105977,0
2011,RATI4760EJB,33989,5,34456,RETAIL-WHOLESALE,Marmara Region,268067,641852,0
2010,RATI4215ELW,34182,1111,,RETAIL-WHOLESALE,Marmara Region,310524,1118644,3
2017,RATI1214FKF,35810,18,28974,MANUFACTURING,Central Anatolia Region,314184,648373,0
2013,RATI8349SVJ,39104,3,-198423,RETAIL-WHOLESALE,Marmara Region,60899,141816,0
2015,RATI7433MDX,38753,15,16962,MANUFACTURING,,30488,416353,0
2015,RATI9111OBN,35870,26,212615,MANUFACTURING,Marmara Region,25376,105599,0
2014,RATI4725CJH,39803,16,15312,MANUFACTURING,Marmara Region,487528,1650768,0
2017,RATI9699CYH,35451,5,274866,RETAIL-WHOLESALE,Marmara Region,23614,4778875,0
2014,RATI9052CKM,39413,9,18520,OTHERS,Marmara Region,364032,1639190,1
2014,RATI4165CJQ,34978,13,27424,MANUFACTURING,Marmara Region,427457,1438744,0
2012,RATI8127JCH,37815,26,234119,RETAIL-WHOLESALE,Marmara Region,324988,1122239,0
2013,RATI9681CQT,38196,3,,OTHERS,Marmara Region,38132,127280,3
2017,RATI2291GMX,38263,13,,OTHERS,Marmara Region,,,3
2014,RATI1571PYP,39137,32,28071,OTHERS,Marmara Region,47422,195330,0
2016,RATI1170QIF,33257,7,357884,MANUFACTURING,Marmara Region,147162,271733,1
2017,RATI1745LLW,41402,19,-48254,SERVICES,Marmara Region,266241,1193817,0
2013,RATI6121OVC,38864,4,,OTHERS,Marmara Region,32874,185460,3
2012,RATI6308EHB,35816,7,99175,OTHERS,Central Anatolia Region,4296129,12922834,1
2011,RATI5846GIC,36520,59,,RETAIL-WHOLESALE,Marmara Region,372555,1731134,3
2011,RATI1334PZU,33944,8,46560,RETAIL-WHOLESALE,Central Anatolia Region,868666,1886010,0
2014,RATI9851WEQ,39955,2,-134236,SERVICES,Southeastern Anatolia Region,2537085,3539565,0
2017,RATI2089WBJ,38787,4,8667,SERVICES,,685726,2277643,0
2012,RATI6565VKN,38530,2,15613,RETAIL-WHOLESALE,,26114,397487,0
2016,RATI5286YQJ,39702,10,-23945,OTHERS,,582684,1583838,0
2013,RATI9220TQO,35818,3,101735,MANUFACTURING,Mediterranean Region,3986502,7210815,0
2016,RATI9722SQG,39878,3,60110,RETAIL-WHOLESALE,Eastern Anatolia Region,502199,5137182,1
2014,RATI4080YSP,37787,2,-49565,RETAIL-WHOLESALE,Aegean Region,552000,3377733,0
2016,RATI1533HLA,38810,4,-175841,MANUFACTURING,Marmara Region,939569,1671165,0
2016,RATI9772UFS,38682,13,10558,OTHERS,Marmara Region,73484,388409,0
2016,RATI6467XMX,39750,32,-210158,RETAIL-WHOLESALE,Aegean Region,28548,376388,0
2017,RATI7377YWX,36906,7,1531922,MANUFACTURING,Marmara Region,289235,1208141,1
2015,RATI5205EJK,40706,11,39829,MANUFACTURING,,350320,2594422,0
2017,RATI5566YKI,40604,10,-44146,MANUFACTURING,Marmara Region,167775,486088,0
2014,RATI3302SSI,35255,10,197172,SERVICES,Black Sea Region,686930,4907909,0
2015,RATI9851WEQ,39950,2,152973,SERVICES,Southeastern Anatolia Region,3037794,3432436,1
2014,RATI9672JHL,37903,3,72786,RETAIL-WHOLESALE,Marmara Region,2676023,8158220,0
2010,RATI3329SIW,37757,10,35765,MANUFACTURING,Marmara Region,376327,1042536,0
2016,RATI8667PFO,36835,12,106796,MANUFACTURING,Marmara Region,473467,856716,0
2012,RATI8792VHI,39905,9,127766,MANUFACTURING,Marmara Region,,,0
2017,RATI3519DMJ,40665,4,27759,RETAIL-WHOLESALE,Marmara Region,53738,39452,0
2011,RATI5835WSA,35043,10,,RETAIL-WHOLESALE,Central Anatolia Region,396254,781151,3
2010,RATI9716RNV,35811,,155425,MANUFACTURING,Marmara Region,148018,300965,0
2014,RATI4853TDE,39115,5,75100,OTHERS,Black Sea Region,726194,1857866,0
2015,RATI6425OUS,37459,193,136676,OTHERS,Marmara Region,433319,799771,0
2010,RATI1637FVB,39218,9,70656,OTHERS,Black Sea Region,41183,182927,0
2010,RATI5463QMH,37616,,302237,RETAIL-WHOLESALE,Marmara Region,53347,1213750,1
2017,RATI8635RNW,33567,9,384447,OTHERS,Central Anatolia Region,418783,1223702,0
2016,RATI3973FHW,41334,7,-88419,RETAIL-WHOLESALE,Marmara Region,916348,3250455,1
2013,RATI7160ILD,40824,10,514397,SERVICES,Marmara Region,8586003,10808326,0
2013,RATI4050DBN,36889,1,-271019,OTHERS,Aegean Region,186649,339640,0
2017,RATI9759CEI,35902,4,95217,RETAIL-WHOLESALE,Marmara Region,2069826,3068287,0
2016,RATI9579IGE,36191,1,32174,RETAIL-WHOLESALE,Southeastern Anatolia Region,1033623,1187731,0
2012,RATI6385PHD,37323,7,34576,RETAIL-WHOLESALE,Mediterranean Region,774952,3125794,0
2016,RATI5970HHB,39531,4,,RETAIL-WHOLESALE,Marmara Region,39405,368160,3
2015,RATI2167REN,41391,5,10809,RETAIL-WHOLESALE,Black Sea Region,642211,2876342,0
2011,RATI5906WOP,38259,5,45385,RETAIL-WHOLESALE,Aegean Region,74119,1375546,0
2013,RATI1204WYP,36722,15,-1253956,MANUFACTURING,,183724,1444569,0
2014,RATI5385EKR,38851,5,12711,RETAIL-WHOLESALE,Marmara Region,593142,710688,0
2015,RATI4483IVT,28517,2,21207,MANUFACTURING,Marmara Region,450351,1553462,0
2015,RATI8047TXK,33971,5,430408,MANUFACTURING,Aegean Region,,,0
2017,RATI8876PUV,36186,9,81878,MANUFACTURING,Marmara Region,79017,169220,0
2012,RATI7388CBI,35714,2,13598,RETAIL-WHOLESALE,Aegean Region,107047,201946,0
2012,RATI2937XYM,37698,5,,OTHERS,Marmara Region,264225,515268,3
2015,RATI9323XQR,33895,16,974681,RETAIL-WHOLESALE,Marmara Region,249256,2518295,0
2011,RATI4972HPW,37630,15,50482,RETAIL-WHOLESALE,Central Anatolia Region,,,0
2015,RATI8439HYX,39618,38,15401,RETAIL-WHOLESALE,,1017749,2160682,0
2017,RATI1129BMK,32516,27,54305,RETAIL-WHOLESALE,Marmara Region,345292,1881609,1
2016,RATI8973ETU,34052,9,,OTHERS,Central Anatolia Region,155253,1586609,3
2010,RATI3821ATP,38501,,131848,OTHERS,,1460498,4403897,0
2011,RATI8091CAU,33979,3,27621,RETAIL-WHOLESALE,Mediterranean Region,466506,1073852,0
2014,RATI1348GKA,37283,5,7341,MANUFACTURING,Marmara Region,209123,500631,0
2013,RATI2556CEM,38740,7,,RETAIL-WHOLESALE,Marmara Region,3790409,4653845,3
2016,RATI2089WBJ,38799,1,9544,SERVICES,,918685,2209022,0
2014,RATI8475OVA,40648,28,30173,RETAIL-WHOLESALE,Central Anatolia Region,2209519,6781627,0
2016,RATI2319HSQ,34783,22,290143,RETAIL-WHOLESALE,Mediterranean Region,597026,6648503,1
2017,RATI8845NAF,35312,10,26896,MANUFACTURING,Aegean Region,720425,1522838,0
2012,RATI3226DLP,34167,4,273454,MANUFACTURING,Aegean Region,985931,12065845,1
2017,RATI4716AJB,35860,9,,MANUFACTURING,Black Sea Region,2764427,8964165,3
2017,RATI4372UHB,32147,5,,RETAIL-WHOLESALE,,504344,1338002,3
2014,RATI3969JES,37706,108,397381,OTHERS,Aegean Region,1258798,4112203,1
2015,RATI2166ADY,40711,4,17073,OTHERS,Mediterranean Region,1339939,2369683,0
2017,RATI5073BWD,41448,1,46694,OTHERS,Marmara Region,701209,4917034,0
2016,RATI7869HJS,39830,5,80350,RETAIL-WHOLESALE,Marmara Region,262583,893103,1
2017,RATI1698DXL,37713,53,,MANUFACTURING,Marmara Region,1340444,3982938,3
2013,RATI3116ZAK,38765,10,15030,MANUFACTURING,,1019257,1657097,0
2016,RATI9210XZB,36053,32,,RETAIL-WHOLESALE,Marmara Region,1548368,4106482,3
2010,RATI6004LDZ,38373,,47515,RETAIL-WHOLESALE,Marmara Region,261187,366488,0
2014,RATI3905DPP,33978,15,45359,SERVICES,,800365,3548244,0
2013,RATI3219LNG,38962,5,1410202,RETAIL-WHOLESALE,Central Anatolia Region,140619,746099,1
2013,RATI4598TAH,32428,23,,SERVICES,Aegean Region,0,51531,3
2013,RATI2040PPB,38892,2,,RETAIL-WHOLESALE,Southeastern Anatolia Region,233818,634751,3
2017,RATI4183DJC,41708,24,-303398,SERVICES,Black Sea Region,97849,414923,0
2010,RATI4830SMF,39304,,156518,MANUFACTURING,Marmara Region,90551,148248,0
2017,RATI1990UVR,35431,3,13639,MANUFACTURING,Marmara Region,742376,956617,0
2012,RATI4479QYU,40197,89,67777,MANUFACTURING,Southeastern Anatolia Region,2538982,3904558,0
2016,RATI8265WER,41234,1,,OTHERS,,492298,1203157,3
2012,RATI2365WVN,34964,20,131635,MANUFACTURING,Marmara Region,1497562,3980837,1
2016,RATI4139DAU,38579,12,73980,MANUFACTURING,Marmara Region,2510243,2670292,0
2016,RATI8184HUY,35062,15,,RETAIL-WHOLESALE,Mediterranean Region,342671,1389778,3
2014,RATI7456AZU,38125,16,,RETAIL-WHOLESALE,Marmara Region,79795,1168354,3
2017,RATI4550VDB,32233,3,,RETAIL-WHOLESALE,Marmara Region,421280,2699928,3
2017,RATI2397DWT,38887,15,87104,SERVICES,Marmara Region,3721547,5431525,0
2014,RATI3936FYP,36575,25,,OTHERS,Marmara Region,19247020,21381927,3
2017,RATI1795COK,38775,28,1418910,RETAIL-WHOLESALE,Central Anatolia Region,3754100,6330851,1
2010,RATI8640LOF,38305,3,258,MANUFACTURING,Central Anatolia Region,604708,1705361,1
2016,RATI8406MZK,37795,1,193414,OTHERS,,140761,190620,0
2017,RATI2406CEF,34824,23,357359,SERVICES,Marmara Region,,,1
2013,RATI8840OIT,37622,2,1892854,RETAIL-WHOLESALE,,231210,2048714,1
2017,RATI9133ZGA,34823,10,92274,MANUFACTURING,Mediterranean Region,1753401,3465999,0
2014,RATI6395DSA,35197,5,,RETAIL-WHOLESALE,Aegean Region,1686008,4882792,3
2013,RATI4055ISJ,35165,10,8844,RETAIL-WHOLESALE,Central Anatolia Region,761495,1412482,0
2017,RATI3291API,36741,10,18018,OTHERS,Southeastern Anatolia Region,7090176,9407074,1
2017,RATI4121CVB,39680,30,126211,MANUFACTURING,Marmara Region,4161248,7173029,1
2017,RATI3885XAX,35082,8,103791,RETAIL-WHOLESALE,Central Anatolia Region,750456,1257587,1
2012,RATI2460JDO,37759,42,273550,MANUFACTURING,Marmara Region,389,238662,0
2015,RATI9027JBP,40077,1,-108782,RETAIL-WHOLESALE,Southeastern Anatolia Region,2611603,5396366,0
2017,RATI9071FXQ,34020,53,362846,RETAIL-WHOLESALE,Black Sea Region,3984900,9024345,1
2010,RATI4424XYA,38374,,41967,RETAIL-WHOLESALE,Marmara Region,2086841,2601775,1
2017,RATI2950IFP,41087,31,364092,OTHERS,Central Anatolia Region,964822,2165441,0
2017,RATI1505XLV,37347,14,-1391316,RETAIL-WHOLESALE,Mediterranean Region,3816972,6166906,0
2017,RATI6946LPR,38630,5,40768,RETAIL-WHOLESALE,Mediterranean Region,529785,2476211,1
2010,RATI6021TLB,38147,2,8943,RETAIL-WHOLESALE,Eastern Anatolia Region,126003,316781,0
2010,RATI6023RZA,35085,,,RETAIL-WHOLESALE,Mediterranean Region,2015204,5762475,3
2014,RATI9619HYM,36527,5,-41828,OTHERS,Mediterranean Region,714518,2406085,0
2015,RATI5257ERR,38865,5,84440,RETAIL-WHOLESALE,Aegean Region,54478,99319,0
2016,RATI6191DBL,36034,28,40331,RETAIL-WHOLESALE,Marmara Region,2779705,9618429,1
2017,RATI5388LTZ,41940,1,7428,OTHERS,Marmara Region,1198712,1418844,0
2017,RATI3067POU,35092,5,155186,MANUFACTURING,Mediterranean Region,96909,455467,0
2016,RATI1944WQY,41542,5,6244,OTHERS,Marmara Region,1480846,3685417,0
2017,RATI2522VKV,40666,4,15914,RETAIL-WHOLESALE,Marmara Region,226246,5475098,0
2016,RATI7706IKQ,42025,9,71598,RETAIL-WHOLESALE,,223118,654943,0
2014,RATI5003MMW,39575,10,17378,OTHERS,Marmara Region,413051,740381,0
2011,RATI9323XQR,33889,23,,RETAIL-WHOLESALE,Marmara Region,84225,658192,3
2015,RATI5623HFE,35644,6,,RETAIL-WHOLESALE,Mediterranean Region,99949,383790,3
2016,RATI6696XVU,39157,3,179607,RETAIL-WHOLESALE,Marmara Region,458312,2095647,0
2010,RATI4018NUE,28307,,,RETAIL-WHOLESALE,,42353,62593,3
2012,RATI5694NLX,35427,17,259959,MANUFACTURING,Marmara Region,2977451,4598609,1
2014,RATI3790WMV,32755,5,,OTHERS,Marmara Region,7161,1647961,3
2012,RATI2449TMR,34360,15,40576,RETAIL-WHOLESALE,Marmara Region,364560,1189664,0
2015,RATI1929PGV,37962,30,,OTHERS,Central Anatolia Region,327711,3075246,3
2011,RATI5475ELT,34524,34,61389,MANUFACTURING,,356439,792473,1
2016,RATI1324BSV,40767,8,,RETAIL-WHOLESALE,Aegean Region,1423933,5206786,3
2015,RATI9120QUZ,35113,8,139682,RETAIL-WHOLESALE,Aegean Region,1250434,2492957,1
2012,RATI6294DCQ,37226,5,,RETAIL-WHOLESALE,Marmara Region,608902,1512090,3
2012,RATI3638CUE,37644,12,38892,SERVICES,Marmara Region,1510091,4765035,0
2012,RATI7355BHY,38162,1,,RETAIL-WHOLESALE,Marmara Region,,,3
2014,RATI9267OFL,40711,4,145292,RETAIL-WHOLESALE,Marmara Region,329717,1051809,0
2016,RATI8915EBY,39240,12,,RETAIL-WHOLESALE,Marmara Region,555697,1293327,3
2011,RATI6653MZD,37807,2,,MANUFACTURING,Eastern Anatolia Region,434413,1519643,3
2015,RATI3023COT,34095,17,,SERVICES,Central Anatolia Region,18230,331511,3
2017,RATI5478MLK,37288,6,,MANUFACTURING,Marmara Region,304948,423284,3
2013,RATI7279BWE,37559,6,49980,RETAIL-WHOLESALE,Marmara Region,398624,1254791,0
2011,RATI9417OMY,37632,6,,RETAIL-WHOLESALE,Central Anatolia Region,1043877,1864966,3
2011,RATI9637EIB,39083,2,17541,RETAIL-WHOLESALE,Marmara Region,137677,141394,0
2012,RATI3995GVO,34987,7,269691,SERVICES,Marmara Region,53151,229496,0
2015,RATI8795RWK,30318,19,87891,SERVICES,Aegean Region,151472,616175,0
2010,RATI3596GUB,35826,21,1492258,RETAIL-WHOLESALE,Central Anatolia Region,537439,4344960,1
2011,RATI1933UFF,35255,11,,RETAIL-WHOLESALE,,1142988,3880908,3
2015,RATI7480HGQ,37560,16,15737,RETAIL-WHOLESALE,Marmara Region,121564,183063,0
2011,RATI3270KNL,37716,6,,MANUFACTURING,Southeastern Anatolia Region,239410,1322510,3
2013,RATI9568FWU,37421,34,-152307,MANUFACTURING,Marmara Region,796362,2477489,1
2015,RATI4263FQZ,37138,2,,SERVICES,Marmara Region,12570,2212189,3
2014,RATI4992GUF,39231,10,,MANUFACTURING,Marmara Region,1654137,6220796,3
2015,RATI5598KZF,40265,5,29039,RETAIL-WHOLESALE,Eastern Anatolia Region,1717711,5659853,0
2010,RATI9832IGB,34035,26,8127,MANUFACTURING,Marmara Region,359251,2377709,0
2016,RATI4156IFA,38027,24,11448,SERVICES,Black Sea Region,3774074,4465869,0
2017,RATI8606WJI,41397,63,-474508,OTHERS,Marmara Region,183368,199411,0
2016,RATI1820WEK,36740,31,-24833,RETAIL-WHOLESALE,Aegean Region,1804448,3227547,0
2017,RATI3051ICU,35076,6,,OTHERS,Marmara Region,1411864,2646233,3
2012,RATI6242FYL,39239,5,,OTHERS,,57361,248701,3
2014,RATI8552EQW,40435,10,-1685,RETAIL-WHOLESALE,Southeastern Anatolia Region,3181802,3256631,0
2016,RATI4669DNL,34342,8,,MANUFACTURING,Central Anatolia Region,43770,195108,3
2014,RATI3294UYW,36547,2,,OTHERS,Aegean Region,31543,138494,3
2016,RATI7794HTE,35555,8,,RETAIL-WHOLESALE,Marmara Region,6973,102106,3
2011,RATI5453PFD,38343,8,-2464034,RETAIL-WHOLESALE,Central Anatolia Region,113904,178134,0
2017,RATI1980MTD,40383,,77339,RETAIL-WHOLESALE,Aegean Region,279232,457089,1
2015,RATI9451GXD,35544,5,5953,RETAIL-WHOLESALE,Central Anatolia Region,177279,147784,0
2014,RATI4045VMB,35452,3,,SERVICES,Marmara Region,39723,134991,3
2013,RATI2155WIN,38898,9,,MANUFACTURING,Marmara Region,154784,690244,3
2014,RATI4169DWI,35238,3,,RETAIL-WHOLESALE,Central Anatolia Region,715643,1405671,3
2016,RATI7242JUZ,37623,2,4801,MANUFACTURING,Aegean Region,3151276,5817278,0
2017,RATI2330XND,39458,2,56752,RETAIL-WHOLESALE,Central Anatolia Region,1454651,2395431,0
2017,RATI1333TXU,41081,5,278223,MANUFACTURING,Aegean Region,2352100,5771954,0
2016,RATI6885ERT,35002,41,,SERVICES,Marmara Region,168398,3144030,3
2016,RATI6076PID,39867,4,16170,RETAIL-WHOLESALE,Central Anatolia Region,261251,343470,0
2010,RATI6748HNC,36062,,37485,RETAIL-WHOLESALE,Eastern Anatolia Region,283390,658298,0
2015,RATI8105CSV,36099,13,57211,MANUFACTURING,Central Anatolia Region,176408,953847,0
2011,RATI6434CJG,37602,6,105685,RETAIL-WHOLESALE,Central Anatolia Region,81920,426199,0
2012,RATI3099YCH,37645,7,20893,RETAIL-WHOLESALE,Mediterranean Region,90798,1286359,0
2011,RATI7304AQY,39494,4,121915,MANUFACTURING,Marmara Region,26094,301899,0
2011,RATI6795LHO,34971,16,,RETAIL-WHOLESALE,,308703,1266484,3
2014,RATI5479YBZ,37609,14,102361,RETAIL-WHOLESALE,Eastern Anatolia Region,1847352,3129325,1
2016,RATI1679FXH,38110,13,,MANUFACTURING,Marmara Region,621406,5082348,3
2015,RATI6139PJZ,39996,9,109975,OTHERS,Marmara Region,59355,394358,0
2016,RATI8208MLI,40620,30,90923,MANUFACTURING,Marmara Region,1152492,2534192,0
2016,RATI5364IRI,40832,3,25099,RETAIL-WHOLESALE,Aegean Region,64216,262649,0
2010,RATI1299VKR,39123,4,14087,RETAIL-WHOLESALE,Marmara Region,50263,93460,0
2015,RATI1008FDC,40224,9,95724,RETAIL-WHOLESALE,Southeastern Anatolia Region,3288592,8237700,1
2014,RATI1569UWS,40767,14,20820,RETAIL-WHOLESALE,,671982,1545696,0
2016,RATI5948JRB,40694,8,-60777,RETAIL-WHOLESALE,Marmara Region,2291017,6244968,1
2014,RATI8391DHT,38839,1,90640,MANUFACTURING,Marmara Region,271368,1941169,0
2016,RATI1485UKN,40895,27,189634,SERVICES,,950555,2077699,1
2011,RATI5542CKE,40059,15,17853,SERVICES,Black Sea Region,925484,1771636,0
2014,RATI4493TTQ,39837,63,85927,RETAIL-WHOLESALE,,1061504,4271382,1
2011,RATI2971DSW,38672,5,,MANUFACTURING,Marmara Region,827349,1842811,3
2011,RATI5146YSZ,32140,27,99648,MANUFACTURING,Marmara Region,634886,3663522,1
2013,RATI5650ZVS,36915,10,37737,MANUFACTURING,Marmara Region,52237,210692,0
2013,RATI8149OPL,36584,2,-579668,RETAIL-WHOLESALE,Central Anatolia Region,3602632,7541426,0
2016,RATI8127GUG,33522,46,105470,OTHERS,Central Anatolia Region,604383,778165,0
2016,RATI6021TLB,38147,2,11647,RETAIL-WHOLESALE,Eastern Anatolia Region,199816,963627,0
2013,RATI5566YKI,40599,10,55878,MANUFACTURING,Marmara Region,511529,669892,0
2017,RATI2084FUU,37592,6,45919,RETAIL-WHOLESALE,Marmara Region,1100995,2326520,0
2013,RATI7388CBI,35721,2,,RETAIL-WHOLESALE,Aegean Region,405718,671261,3
2017,RATI6245LUE,41716,9,77759,RETAIL-WHOLESALE,Marmara Region,1122928,1433946,0
2013,RATI3781ISK,38360,3,,RETAIL-WHOLESALE,Mediterranean Region,211238,762777,3
2015,RATI8161CHK,38478,5,,RETAIL-WHOLESALE,Mediterranean Region,194377,602259,3
2011,RATI7257BCX,35692,10,93470,OTHERS,Marmara Region,235695,1488798,0
2015,RATI5542CKE,40075,15,16499,SERVICES,Central Anatolia Region,2012482,5375129,0
2017,RATI9169CAD,37667,4,3909,SERVICES,Marmara Region,369307,1106745,0
2015,RATI7274BZE,39113,2,-21492,MANUFACTURING,Marmara Region,686,111693,0
2015,RATI9210XZB,36050,37,58038,RETAIL-WHOLESALE,Marmara Region,3139516,7283560,0
2017,RATI1886PSS,41368,11,,RETAIL-WHOLESALE,Marmara Region,64358,268566,3
2016,RATI9078TOQ,35335,9,-209423,MANUFACTURING,Marmara Region,12971,7760567,0
2014,RATI9292VCP,34697,15,48570,RETAIL-WHOLESALE,Aegean Region,796924,1848978,0
2011,RATI1534PPA,31531,24,,RETAIL-WHOLESALE,,586604,1814550,3
2014,RATI3337DRF,37152,10,,MANUFACTURING,Marmara Region,15126,170209,3
2015,RATI1217XHZ,35814,5,,MANUFACTURING,Mediterranean Region,1502243,3707139,3
2013,RATI4493TTQ,39829,34,17285,RETAIL-WHOLESALE,,949461,2024472,1
2010,RATI9721LOE,38661,,-55968,MANUFACTURING,Aegean Region,83728,1669896,0
2016,RATI5181OAP,28151,5,30158,RETAIL-WHOLESALE,Aegean Region,1909870,5097116,0
2014,RATI9390TGW,38095,10,,RETAIL-WHOLESALE,Southeastern Anatolia Region,88547,490264,3
2016,RATI9489DWX,35890,55,2915,RETAIL-WHOLESALE,Marmara Region,2608534,3377297,0
2015,RATI2203IAZ,34364,8,,OTHERS,Marmara Region,107283,253084,3
2017,RATI7769MVD,35447,19,72541,OTHERS,Marmara Region,623413,1282310,0
2015,RATI2329GSZ,39709,4,,RETAIL-WHOLESALE,Central Anatolia Region,30359,42970,3
2014,RATI7536QZP,39433,5,-80708,RETAIL-WHOLESALE,Marmara Region,540024,988735,0
2010,RATI4393XHY,35083,,,RETAIL-WHOLESALE,Aegean Region,0,410370,3
2015,RATI8551NKF,39473,3,79479,RETAIL-WHOLESALE,Black Sea Region,366476,1277226,0
2011,RATI8791JSY,35054,4,,RETAIL-WHOLESALE,Marmara Region,41362,527187,3
2017,RATI5799XQE,37849,4,9829,SERVICES,Marmara Region,347251,714501,0
2010,RATI1179XZA,33315,6,56159,RETAIL-WHOLESALE,Marmara Region,0,224001,0
2011,RATI3915CDM,37588,5,9765,OTHERS,Marmara Region,66250,128611,0
2016,RATI2380USE,37891,9,13379,RETAIL-WHOLESALE,Eastern Anatolia Region,7458694,11946873,1
2016,RATI9983GOP,40518,1,46972,OTHERS,Black Sea Region,2092737,4001726,0
2016,RATI2461ZOH,37730,20,46001,MANUFACTURING,Marmara Region,3596855,5308702,0
2015,RATI2457LIC,33985,49,159847,RETAIL-WHOLESALE,Marmara Region,265608,5755803,1
2011,RATI8430XIM,39525,2,6671,RETAIL-WHOLESALE,Marmara Region,,,0
2015,RATI4809GOV,38281,8,18646,RETAIL-WHOLESALE,Mediterranean Region,240176,776996,0
2010,RATI6208HAI,33907,,87034,MANUFACTURING,Marmara Region,426825,1329846,0
2010,RATI1420EFM,38662,,509474,RETAIL-WHOLESALE,Marmara Region,14479,44560,0
2011,RATI2218PPX,33653,21,626047,RETAIL-WHOLESALE,Aegean Region,538694,4293927,1
2016,RATI7855MWS,37635,2,48753,RETAIL-WHOLESALE,Southeastern Anatolia Region,2951683,4864107,0
2015,RATI6692XMX,35700,6,,RETAIL-WHOLESALE,Marmara Region,27318,65204,3
2016,RATI1569BGG,35871,9,189561,MANUFACTURING,Marmara Region,229957,563311,0
2013,RATI4490YGE,37330,12,591299,OTHERS,Marmara Region,670174,975788,0
2011,RATI7446WIW,35400,5,48310,RETAIL-WHOLESALE,Marmara Region,2187289,4282951,1
2016,RATI7658LNL,37969,3,-1085,OTHERS,Central Anatolia Region,0,123451,0
2013,RATI4435LNT,40237,1,,MANUFACTURING,Marmara Region,0,61716,3
2016,RATI4419OEW,36350,5,,SERVICES,Marmara Region,535100,1324737,3
2017,RATI4866YTN,33973,17,77478,RETAIL-WHOLESALE,Marmara Region,1943519,9392967,1
2014,RATI3306XQT,40457,2,21687,RETAIL-WHOLESALE,Central Anatolia Region,204972,482969,0
2016,RATI8222OOX,38808,3,260953,OTHERS,,391552,1105550,0
2010,RATI9986SGD,34707,,35202,MANUFACTURING,Marmara Region,300138,533367,0
2010,RATI3651MGL,39100,7,-69690,RETAIL-WHOLESALE,Mediterranean Region,439910,578831,0
2011,RATI5731RIB,38310,3,155405,RETAIL-WHOLESALE,,511777,2549901,0
2010,RATI4800ZWP,36489,,,RETAIL-WHOLESALE,Marmara Region,10681169,15390678,3
2013,RATI1299NIQ,35450,13,90469,MANUFACTURING,Black Sea Region,479567,4184926,0
2017,RATI4178CCA,33923,22,-281804,SERVICES,Aegean Region,4495216,7093975,0
2015,RATI1268TDK,39824,4,413017,OTHERS,Central Anatolia Region,238754,1312013,0
2010,RATI5132CAO,36476,,10243,RETAIL-WHOLESALE,Mediterranean Region,50161,898336,0
2015,RATI6649JUU,39190,16,23013,OTHERS,Aegean Region,494698,2958792,0
2014,RATI1240EAI,40093,7,-29756,RETAIL-WHOLESALE,Black Sea Region,538180,2744839,0
2011,RATI5005MOZ,34198,5,69410,RETAIL-WHOLESALE,Marmara Region,825276,4821004,0
2014,RATI3632AHV,39870,10,1059822,SERVICES,Aegean Region,234438,771181,0
2016,RATI3201BVI,32348,1,18523,RETAIL-WHOLESALE,Central Anatolia Region,2364035,25152925,0
